时间	开盘	最高	最低	收盘	涨跌	涨幅%	振幅%	总手(万)	金额(亿)	
1992-05-15,五	529.39	544.54	523.36	544.35	+20.99	4.01	4.05	6228300	75109304	
1992-05-18,一	560.09	571.85	544.35	571.82	+27.47	5.05	5.05	6080500	61340826	
1992-05-19,二	590.41	598.11	571.82	598.11	+26.29	4.60	4.60	4735700	58722429	
1992-05-20,三	617.28	623.88	598.11	616.99	+18.88	3.16	4.31	11184400	119286157	
1992-05-21,四	1260.32	1334.98	604.01	1266.49	+649.50	105.27	118.5	16983000	181277350	
1992-05-22,五	1306.35	1349.71	1262.44	1339.99	+73.50	5.80	6.89	19195000	204173230	
1992-05-25,一	1411.98	1428.79	1339.99	1421.57	+81.58	6.09	6.63	21309100	222429080	
1992-05-26,二	1332.39	1429.01	1291.00	1301.33	-120.24	-8.46	9.71	13847200	149448660	
1992-05-27,三	1250.56	1285.59	823.36	1193.17	-108.16	-8.31	35.52	12975800	138824380	
1992-05-28,四	1123.04	1184.18	1114.94	1160.17	-33.00	-2.77	5.80	11611900	117388178	
1992-05-29,五	1243.65	1253.35	1154.01	1234.71	+74.54	6.42	8.56	13529100	135997220	
1992-06-01,一	1175.69	1249.58	1129.28	1183.24	-51.47	-4.17	9.74	10516100	105366093	
1992-06-02,二	1155.88	1184.28	1138.58	1141.02	-42.22	-3.57	3.86	8428300	84509556	
1992-06-03,三	1075.90	1141.02	1033.47	1059.07	-81.95	-7.18	9.43	9118100	91844888	
1992-06-04,四	1087.49	1118.93	1050.45	1104.46	+45.39	4.29	6.47	9411700	94263229	
1992-06-05,五	1125.01	1143.07	1099.91	1105.76	+1.30	0.12	3.91	10042600	100847244	
1992-06-08,一	1092.07	1121.41	1085.19	1093.46	-12.30	-1.11	3.28	6571100	63968818	
1992-06-09,二	1116.92	1144.39	1079.65	1126.60	+33.14	3.03	5.92	8102800	78762151	
1992-06-10,三	1199.23	1206.51	1134.73	1187.02	+60.42	5.36	6.37	15419300	140149760	
1992-06-11,四	1179.28	1188.68	1172.08	1178.30	-8.72	-0.73	1.40	10740800	85107111	
1992-06-12,五	1164.10	1178.30	1153.97	1171.71	-6.59	-0.56	2.06	11381200	104835184	
1992-06-15,一	1174.41	1181.84	1152.69	1171.83	+0.12	0.01	2.49	8995600	78204178	
1992-06-16,二	1171.75	1171.75	1135.61	1166.70	-5.13	-0.44	3.08	9213200	85477151	
1992-06-17,三	1171.29	1186.58	1166.26	1169.57	+2.87	0.25	1.74	9051000	84383974	
1992-06-18,四	1167.16	1172.84	1158.32	1168.43	-1.14	-0.10	1.24	6335700	61629572	
1992-06-19,五	1169.97	1171.94	1161.80	1171.94	+3.51	0.30	0.868	5980200	55724545	
1992-06-22,一	1173.68	1180.21	1165.74	1169.90	-2.04	-0.17	1.23	7047500	64265464	
1992-06-23,二	1162.83	1172.46	1154.60	1158.17	-11.73	-1.00	1.53	5552700	44559364	
